# seed	om	si8	S8	As*1e9
3.200000000000000000e+01 3.020166684619050579e-01 3.222643019774455442e-01 6.819296957919653845e-01 3.279422971979312873e+00
3.300000000000000000e+01 4.105458239750078286e-01 3.757314629309655984e-01 7.951764525316932231e-01 3.280148190057860180e+00
3.400000000000000000e+01 3.136954037713036714e-01 3.284360510606413874e-01 6.220489812160593379e-01 2.714842129780938418e+00
3.500000000000000000e+01 9.034975578151954734e-02 1.762626257772313687e-01 6.813411833455903510e-01 7.726813086619788606e+00
3.600000000000000000e+01 1.400359539007903498e-01 2.194403670614445134e-01 7.076713298861403434e-01 6.098291776710802026e+00
3.700000000000000000e+01 4.340724140703188239e-01 3.863472607100866263e-01 7.350089229386589373e-01 2.736409489574624043e+00
3.800000000000000000e+01 1.589204503689399528e-01 2.337688484918690468e-01 8.202299509660401222e-01 6.819844361642688924e+00
3.900000000000000000e+01 1.530198164758959090e-01 2.293879405918503867e-01 7.014803452595064215e-01 5.674155357239941466e+00
4.000000000000000000e+01 4.230661749131733318e-01 3.814177465409377965e-01 5.908538622934224049e-01 1.838106650460167746e+00
4.100000000000000000e+01 4.386082680158687186e-01 3.883605889881474038e-01 9.464642030759733426e-01 4.095513852300435076e+00
4.200000000000000000e+01 4.535612503216755464e-01 3.949250810289976488e-01 6.953537954884564387e-01 2.376096121487676793e+00
4.300000000000000000e+01 9.805157186830573690e-02 1.836217085785376013e-01 8.318518463930730800e-01 9.416758270087546734e+00
4.400000000000000000e+01 2.303305479808336609e-01 2.814313762227289573e-01 7.065371705491768628e-01 4.282205603550940154e+00
4.500000000000000000e+01 3.750659721681107728e-01 3.591290827638856653e-01 8.080396798297305727e-01 3.619925893093790759e+00
4.600000000000000000e+01 1.883106948585319129e-01 2.544686213796654162e-01 8.211164754459596704e-01 6.103115374212629618e+00
4.700000000000000000e+01 1.185380333675674358e-01 2.018950182406294702e-01 8.573620868016915697e-01 8.695604420499975618e+00
4.800000000000000000e+01 3.101131461647721466e-01 3.265553720032873253e-01 7.792914094667258151e-01 3.966683619372840308e+00
4.900000000000000000e+01 4.126243578210988527e-01 3.766813989995247414e-01 7.362670750868958169e-01 2.869005708395594656e+00
5.000000000000000000e+01 3.556162506412620661e-01 3.496934867493919352e-01 9.663236679551676644e-01 4.924952044989741040e+00
5.100000000000000000e+01 1.194164745236491743e-01 2.026417217500745271e-01 7.469129989159826177e-01 7.270212532293342633e+00
5.200000000000000000e+01 3.566550091425197966e-01 3.502038433577478460e-01 5.817336440615232807e-01 2.122907456701438544e+00
5.300000000000000000e+01 3.683779282123526566e-01 3.559127486496915793e-01 7.721420658342199594e-01 3.415208802718331160e+00
5.400000000000000000e+01 1.892744706263972121e-01 2.551189766146514937e-01 6.177228689484557389e-01 4.055441472337069087e+00
5.500000000000000000e+01 2.150116186385367389e-01 2.719115830574202475e-01 7.952207709736688335e-01 5.334783003653559064e+00
5.600000000000000000e+01 3.066279725363634800e-01 3.247152083560749247e-01 7.679629103858625072e-01 3.912372873098376669e+00
5.700000000000000000e+01 9.350038531496540628e-02 1.793095597739159663e-01 6.720500908303391752e-01 7.428104033430049213e+00
5.800000000000000000e+01 3.755168828756538790e-01 3.593448934744273293e-01 9.380237342267041534e-01 4.536065135492055589e+00
5.900000000000000000e+01 2.811486703087261452e-01 3.109315278848731046e-01 8.635041897026658475e-01 4.960053282885219517e+00
6.000000000000000000e+01 1.161694329490460809e-01 1.998677294257643622e-01 8.705141945658361191e-01 8.972392409175339978e+00
6.100000000000000000e+01 2.495852711595739071e-01 2.929585789428070242e-01 9.338205373162519196e-01 6.003366679399714911e+00
6.200000000000000000e+01 2.522513656675098304e-01 2.945191287583181494e-01 9.588523493871061731e-01 6.176496203644518346e+00
6.300000000000000000e+01 3.326337848091726057e-01 3.382049211918546350e-01 7.881037418676763995e-01 3.823955089335202562e+00
6.400000000000000000e+01 2.911964238964690477e-01 3.164388245605949668e-01 7.453729950854353081e-01 3.888143264127220444e+00
6.500000000000000000e+01 3.126593479943325926e-01 3.278932323074841282e-01 6.356298306529366560e-01 2.828106769581709035e+00
6.600000000000000000e+01 1.380330454757331959e-01 2.178654076388550354e-01 8.217313829899441924e-01 7.488482613035374769e+00
6.700000000000000000e+01 2.278766740405658575e-01 2.799282183818491143e-01 9.058614308379988600e-01 6.126656794007592666e+00
6.800000000000000000e+01 1.672405295575632722e-01 2.398101225587742635e-01 6.312903782841028377e-01 4.592215996008421897e+00
6.900000000000000000e+01 1.279725484166817639e-01 2.097756875797021081e-01 5.959623315987890857e-01 5.122240526679615158e+00
7.000000000000000000e+01 2.002640230400433707e-01 2.624207740461679261e-01 6.465094418290185940e-01 4.163036608534264715e+00
7.100000000000000000e+01 2.640422443334329849e-01 3.013238111676450059e-01 8.933934241827073963e-01 5.437331046543885549e+00
7.200000000000000000e+01 4.156954050613147489e-01 3.780805673660752597e-01 6.545113410145313448e-01 2.300896051600552550e+00
7.300000000000000000e+01 1.489304707741983813e-01 2.263020693116831183e-01 9.401837824860465043e-01 8.461668230219176579e+00
7.400000000000000000e+01 1.009897834632983438e-01 1.863526034692668532e-01 7.980089941914016993e-01 8.786307871555649740e+00
7.500000000000000000e+01 1.812273914669114416e-01 2.496368326584090525e-01 8.957400608825676347e-01 7.021822661303893653e+00
7.600000000000000000e+01 4.279722397986716609e-01 3.836229174575644940e-01 5.878923259980222138e-01 1.795843817869221315e+00
7.700000000000000000e+01 3.132558551895424093e-01 3.282058688451495176e-01 8.855309123329538901e-01 4.759076934873581521e+00
7.800000000000000000e+01 1.175476569353153533e-01 2.010498402739722412e-01 6.454739119092420818e-01 6.061749330024280624e+00
7.900000000000000000e+01 4.486313211794620281e-01 3.927729216946448942e-01 6.900138059555929182e-01 2.366059775754972616e+00
8.000000000000000000e+01 3.888201323675420928e-01 3.656546628114278330e-01 6.668686227886824192e-01 2.536363288272303063e+00
8.100000000000000000e+01 4.468491053083808451e-01 3.919919878961462545e-01 9.118076293372749941e-01 3.813360036488167015e+00
8.200000000000000000e+01 3.456000343632134597e-01 3.447336141616181848e-01 7.016158801444473125e-01 3.073971929687972615e+00
8.300000000000000000e+01 4.242926178175444596e-01 3.819701997808735983e-01 8.334679678647045620e-01 3.447122059762337098e+00
8.400000000000000000e+01 4.105078996869407360e-01 3.757141083794563463e-01 7.408645218563573165e-01 2.912906278284359107e+00
8.500000000000000000e+01 1.156145310603123588e-01 1.993898079265954970e-01 8.935153802935500433e-01 9.292193895990878971e+00
8.600000000000000000e+01 1.989556511624922530e-01 2.615621410730302743e-01 8.314139389309950223e-01 5.980732087089116078e+00
8.700000000000000000e+01 3.393848220575608754e-01 3.416197354041052292e-01 7.999205627072629721e-01 3.852675378020084640e+00
8.800000000000000000e+01 4.220647667560867289e-01 3.809660664524262552e-01 7.307806904484949184e-01 2.776509338150145556e+00
8.900000000000000000e+01 2.173286303902067229e-01 2.733727461961120708e-01 6.975713305248604224e-01 4.386967143703401462e+00
9.000000000000000000e+01 3.020154454990834347e-01 3.222636495006819812e-01 8.233422134673940018e-01 4.394973032739175167e+00
9.100000000000000000e+01 1.620401794691280484e-01 2.360522268337378604e-01 6.903612316002384341e-01 5.334924858390634128e+00
9.200000000000000000e+01 1.682101031199327856e-01 2.405042650927117498e-01 8.424091705159685306e-01 6.804480639500221528e+00
9.300000000000000000e+01 4.554438918769487810e-01 3.957438595655405345e-01 5.782046993077651909e-01 1.614289260615903832e+00
9.400000000000000000e+01 1.173125459619593636e-01 2.008486764032721694e-01 8.278434377558019364e-01 8.378220347266324808e+00
9.500000000000000000e+01 7.455739673433647852e-02 1.601187208025590669e-01 8.836159637441529657e-01 1.192909745520202236e+01
9.600000000000000000e+01 1.211474253907811605e-01 2.041050914876500477e-01 7.487512256922641551e-01 7.225926715611269202e+00
9.700000000000000000e+01 3.563837657189524166e-01 3.500706494384730472e-01 6.811924369184496619e-01 2.846777853328649410e+00
9.800000000000000000e+01 4.482506307739959617e-01 3.926062407149280009e-01 7.056252960054076873e-01 2.469042874131126997e+00
9.900000000000000000e+01 3.600397439412382772e-01 3.518616752530294711e-01 7.601232603194445492e-01 3.391871246716776422e+00
1.000000000000000000e+02 3.730355915817186174e-01 3.581557097155158575e-01 7.106391776873532962e-01 2.944121720514500939e+00
1.010000000000000000e+02 3.718101228975214112e-01 3.575669325627151562e-01 9.652257472778935643e-01 4.762460218232508424e+00
1.020000000000000000e+02 4.417484960698718766e-01 3.897483486937305397e-01 8.027935439140223561e-01 3.136340483041931027e+00
1.030000000000000000e+02 3.464424960206999859e-01 3.451535332127035338e-01 6.217845328435700480e-01 2.479687892589221843e+00
1.040000000000000000e+02 2.104508449761267053e-01 2.690122648736884003e-01 6.420645151400092843e-01 3.967571156558743706e+00
1.050000000000000000e+02 1.979873991711644243e-01 2.609248961758132146e-01 7.399287444211155584e-01 5.109126897076032847e+00
1.060000000000000000e+02 1.136733610639162617e-01 1.977088430218297554e-01 8.936847799935100367e-01 9.391231067709941982e+00
1.070000000000000000e+02 4.343188798309228771e-01 3.864569288849437068e-01 9.249473650941640868e-01 3.984490422677989141e+00
1.080000000000000000e+02 3.876617763592175026e-01 3.651095853154656123e-01 6.177663565174712490e-01 2.201394830304949313e+00
1.090000000000000000e+02 2.644506519548107670e-01 3.015567575874781303e-01 7.566896104387950128e-01 4.279064546342121744e+00
1.100000000000000000e+02 3.675616467995765912e-01 3.555181999275039417e-01 7.823787179492053268e-01 3.494528371401412148e+00
1.110000000000000000e+02 9.498004197827930595e-02 1.807227899993179010e-01 9.145883673036204753e-01 1.076533328054891747e+01
1.120000000000000000e+02 1.736865371075187736e-01 2.443879690402264160e-01 6.376752983095272942e-01 4.533275913837918836e+00
1.130000000000000000e+02 3.090682326619422216e-01 3.260047503339823516e-01 6.324780271716603508e-01 2.832076503937131395e+00
1.140000000000000000e+02 3.585940564000419384e-01 3.511545398447781796e-01 6.695505490644627633e-01 2.747227167336606879e+00
1.150000000000000000e+02 1.821382006196817505e-01 2.502633564583167103e-01 8.574470566765726165e-01 6.610003701497515038e+00
1.160000000000000000e+02 7.307171839926640544e-02 1.585153793301951053e-01 7.329361596680319391e-01 9.654469530543826394e+00
1.170000000000000000e+02 1.665986641569342230e-01 2.393494872213121905e-01 8.825367621386777106e-01 7.273646993197981914e+00
1.180000000000000000e+02 1.331325801803983633e-01 2.139631182022310452e-01 6.195957393450501893e-01 5.261694565777206734e+00
1.190000000000000000e+02 3.486882337843469903e-01 3.462704173188247414e-01 9.441768247475050835e-01 4.831803395811135715e+00
1.200000000000000000e+02 8.921929697424027528e-02 1.751564531852619344e-01 6.103400493744020050e-01 6.758374090305839132e+00
1.210000000000000000e+02 2.069954620018552016e-01 2.667946744214464982e-01 6.638992193166363132e-01 4.226059790158393170e+00
1.220000000000000000e+02 1.703710199871827091e-01 2.420441584525183931e-01 9.333311563763150298e-01 7.702784343439626369e+00
1.230000000000000000e+02 2.077181333426201260e-01 2.672599910865035011e-01 6.735016212616725673e-01 4.306384290143377314e+00
1.240000000000000000e+02 1.705538005781246924e-01 2.421739607946037931e-01 6.158955907712923006e-01 4.365288970561470805e+00
1.250000000000000000e+02 3.267428618677507557e-01 3.351967493593166481e-01 8.939926827184762059e-01 4.680199245304807576e+00
1.260000000000000000e+02 1.700326977788094440e-01 2.418037137799845249e-01 6.180145893242691146e-01 4.397466534257363335e+00
1.270000000000000000e+02 1.053779047104247968e-01 1.903581710651082726e-01 7.855453571296548976e-01 8.390786124899204168e+00
1.280000000000000000e+02 3.338656638663159426e-01 3.388305980704865994e-01 8.413008658688410080e-01 4.212145542865471270e+00
1.290000000000000000e+02 2.418650125059507994e-01 2.883920396385447060e-01 8.268382841189987342e-01 5.188624877602721952e+00
1.300000000000000000e+02 4.210779408124631917e-01 3.805204391047105617e-01 6.308165904516073175e-01 2.114377242083735009e+00
1.310000000000000000e+02 4.000038062313565068e-01 3.708760645787638754e-01 9.466688391410614800e-01 4.388996898720657569e+00
1.320000000000000000e+02 1.097793862813140064e-01 1.942929951616287620e-01 6.837985928264463942e-01 6.847039403670956759e+00
1.330000000000000000e+02 3.778310044719683236e-01 3.604504237650323906e-01 6.204178866998582009e-01 2.275695176682309029e+00
1.340000000000000000e+02 2.671442721258971975e-01 3.030886528844816130e-01 6.331924314008631205e-01 3.210975869443335906e+00
1.350000000000000000e+02 2.923608995337422245e-01 3.170709024630662953e-01 9.452156122561437002e-01 5.478491854415500129e+00
1.360000000000000000e+02 4.248520614401631867e-01 3.822219368956916719e-01 6.125493807693396242e-01 1.974119719951518359e+00
1.370000000000000000e+02 2.656084383428228279e-01 3.022161566130580068e-01 7.101493221042450843e-01 3.873657094160648295e+00
1.380000000000000000e+02 3.808912677232996757e-01 3.619072239905479771e-01 6.938326421914999820e-01 2.773778259489394049e+00
1.390000000000000000e+02 7.477401981076237103e-02 1.603511608671474853e-01 7.469351947181543938e-01 9.741837729271233925e+00
1.400000000000000000e+02 1.472303672761060278e-01 2.250066955950990877e-01 8.943353670391047672e-01 8.004463381605708250e+00
1.410000000000000000e+02 1.643818966355340971e-01 2.377517583340165441e-01 9.607522113941517894e-01 8.172968248666295565e+00
1.420000000000000000e+02 1.108129931554365788e-01 1.952055165957481964e-01 9.637104306835844181e-01 1.045055014617018685e+01
1.430000000000000000e+02 3.956340862691131166e-01 3.688447402961849142e-01 6.680316279736623342e-01 2.504279935150306446e+00
1.440000000000000000e+02 4.249763739493062631e-01 3.822778522331096718e-01 9.639769329903354889e-01 4.310557426948800952e+00
1.450000000000000000e+02 1.730690834282695989e-01 2.439531840457973277e-01 5.849275613291737841e-01 3.995423501657506815e+00
1.460000000000000000e+02 3.038372751525555415e-01 3.232341739323392749e-01 7.935831980815987174e-01 4.141421095764320270e+00
1.470000000000000000e+02 3.930916938797335280e-01 3.676577098131265653e-01 6.713392305654697356e-01 2.542016068536825824e+00
1.480000000000000000e+02 4.179133634511955631e-01 3.790878570534938485e-01 8.310842762548612539e-01 3.473313629333298014e+00
1.490000000000000000e+02 2.539309694579727772e-01 2.954980228277142573e-01 7.512234392701110375e-01 4.362831622266925891e+00
1.500000000000000000e+02 3.873857995759428796e-01 3.649796012489034958e-01 9.266033511646021292e-01 4.354068415067336772e+00
1.510000000000000000e+02 2.108203938874067818e-01 2.692483522739402835e-01 6.927001943933634998e-01 4.440343315046824557e+00
1.520000000000000000e+02 3.380660055298886912e-01 3.409553387382496803e-01 5.793922487255255271e-01 2.219997308803270730e+00
1.530000000000000000e+02 1.308646277701849547e-01 2.121328277124974460e-01 6.791420272083145138e-01 6.038811988143688581e+00
1.540000000000000000e+02 3.579176512153894874e-01 3.508231973963811257e-01 7.202137949119336024e-01 3.118929421992398421e+00
1.550000000000000000e+02 2.642668415732332132e-01 3.014519386023854497e-01 7.024970640416057233e-01 3.824268357771527516e+00
1.560000000000000000e+02 2.121150576112749153e-01 2.700738239746456326e-01 8.180088959730071885e-01 5.599877637343555037e+00
1.570000000000000000e+02 1.213944609726634039e-01 2.043130841139721154e-01 6.615506197911270592e-01 6.131428149800372651e+00
1.580000000000000000e+02 3.786694974069508279e-01 3.608501628465901612e-01 6.286475364817598610e-01 2.328825846108391051e+00
1.590000000000000000e+02 3.264071795269700149e-01 3.350245213521678700e-01 8.078760002088161141e-01 4.030224815208663713e+00
1.600000000000000000e+02 3.268985629115254699e-01 3.352766046122970245e-01 8.839615606167756656e-01 4.602524665063823406e+00
1.610000000000000000e+02 1.771541837449746859e-01 2.468155117946486399e-01 5.726871131574248208e-01 3.798658457192773508e+00
1.620000000000000000e+02 2.162632185336683666e-01 2.727018442608504789e-01 7.377696208041111259e-01 4.777664454964401841e+00
1.630000000000000000e+02 3.061826485025143096e-01 3.244793263750438417e-01 9.680247284970455723e-01 5.484163910492979355e+00
1.640000000000000000e+02 4.303575774533129339e-01 3.846905085203119468e-01 7.868953507439448991e-01 3.100125186305286551e+00
1.650000000000000000e+02 2.710343591854059708e-01 3.052874273177593190e-01 7.123455150771134115e-01 3.831848708286889060e+00
1.660000000000000000e+02 9.123773000097362695e-02 1.771266788991352481e-01 8.062803204846635818e-01 9.472051841881581780e+00
1.670000000000000000e+02 4.511330342838146823e-01 3.938665135754406132e-01 7.651699689453715925e-01 2.838751203024661773e+00
1.680000000000000000e+02 2.804316967872237942e-01 3.105348125449330920e-01 8.183678746846129171e-01 4.599564449130667754e+00
1.690000000000000000e+02 1.781529683156390931e-01 2.475102993407196639e-01 7.632382022056104498e-01 5.739260837290986572e+00
1.700000000000000000e+02 3.270232727522466298e-01 3.353405515203541909e-01 6.468609402599325708e-01 2.803804456742844398e+00
1.710000000000000000e+02 4.696176255613806472e-01 4.018545945994708712e-01 8.144781879443137029e-01 3.052509611578729132e+00
1.720000000000000000e+02 3.749887728190999803e-01 3.590921213221303643e-01 5.939270022554599127e-01 2.104704546275689925e+00
1.730000000000000000e+02 1.668913640976659729e-01 2.395596534816910872e-01 7.424116551284887233e-01 5.778424829126041828e+00
1.740000000000000000e+02 3.326199789652565242e-01 3.381979025830350594e-01 5.800474977778604657e-01 2.260145060592646526e+00
1.750000000000000000e+02 1.524933915507576954e-01 2.289930258407947283e-01 8.866887401047922612e-01 7.743674132525255160e+00
1.760000000000000000e+02 2.737484902913408513e-01 3.068121898184116847e-01 9.422825333117911262e-01 5.707586798155315222e+00
1.770000000000000000e+02 2.761311541476404452e-01 3.081445195541412385e-01 8.221056338462633395e-01 4.682369822958692751e+00
1.780000000000000000e+02 1.751399053825888896e-01 2.454083296039659690e-01 8.929937638449624293e-01 7.150547067677882396e+00
1.790000000000000000e+02 2.845299508092840046e-01 3.127956742266241319e-01 9.032793771232201507e-01 5.241243800209419490e+00
1.800000000000000000e+02 3.386713584062147064e-01 3.412604655154744537e-01 6.725352376599410542e-01 2.909995732607923546e+00
1.810000000000000000e+02 4.270556893173860225e-01 3.832119115651673180e-01 8.764079363566894543e-01 3.714007561225993737e+00
1.820000000000000000e+02 4.078154013995372029e-01 3.744799374549365178e-01 6.603738114999179176e-01 2.383008652283562068e+00
1.830000000000000000e+02 1.207553617783233280e-01 2.037745560788133126e-01 8.667378404408792036e-01 8.712997248271484807e+00
1.840000000000000000e+02 1.414733630393399666e-01 2.205637224593841039e-01 5.793717392619006645e-01 4.577770897038908160e+00
1.850000000000000000e+02 2.779818017061731483e-01 3.091753967149645788e-01 6.869157761731002898e-01 3.548158228786685076e+00
1.860000000000000000e+02 3.349385128434346770e-01 3.393745631104699290e-01 8.922304685510831224e-01 4.583532319199795424e+00
1.870000000000000000e+02 3.619942264208957927e-01 3.528154264814346019e-01 6.774341079035394175e-01 2.781213274089707088e+00
1.880000000000000000e+02 4.594385230099029549e-01 3.974755761795308318e-01 8.383808411133046867e-01 3.262152832854876561e+00
1.890000000000000000e+02 2.715408824470821880e-01 3.055725627593287586e-01 6.665210757374604444e-01 3.445080056682927161e+00
1.900000000000000000e+02 1.524063335986440282e-01 2.289276508440093172e-01 9.172712606939341651e-01 8.086097421405819219e+00
1.910000000000000000e+02 1.429528852258525884e-01 2.217140456120951231e-01 9.622657194933532665e-01 8.933418678323713280e+00
1.920000000000000000e+02 3.459215010531757062e-01 3.448939072814085627e-01 8.678732748151869458e-01 4.297040247374560806e+00
1.930000000000000000e+02 3.581323715164052013e-01 3.509284137330704878e-01 6.463865290051751256e-01 2.582546019154343231e+00
1.940000000000000000e+02 1.706502632794934526e-01 2.422424361147099137e-01 5.867051262029315817e-01 4.057124679990504745e+00
1.950000000000000000e+02 1.544922830900835597e-01 2.304889660050943867e-01 6.174098168960659994e-01 4.709758045780349178e+00
1.960000000000000000e+02 3.597510519963239561e-01 3.517205797159861369e-01 9.685420330945938572e-01 4.900498765856339034e+00
1.970000000000000000e+02 4.661752069216525962e-01 4.003790365210663782e-01 5.870497847489496435e-01 1.627450575325582349e+00
1.980000000000000000e+02 3.756236896475718678e-01 3.593959933598706025e-01 9.125032242157624651e-01 4.354601982807240645e+00
1.990000000000000000e+02 3.022028321574409260e-01 3.223636088655114085e-01 9.033841400424621471e-01 5.024177693786374022e+00
2.000000000000000000e+02 4.089468535519816816e-01 3.749990603861680927e-01 8.847905660493107227e-01 3.898167569849759762e+00
2.010000000000000000e+02 4.462946940766330250e-01 3.917487377595773590e-01 6.155264219447887930e-01 1.894361663342961410e+00
2.020000000000000000e+02 2.868051609021260995e-01 3.140438008737994613e-01 7.255389468887666338e-01 3.773254172351255153e+00
2.030000000000000000e+02 8.199353801758774152e-02 1.679138646467363549e-01 7.422425352620480865e-01 9.137444810767002323e+00
2.040000000000000000e+02 2.365935330941683346e-01 2.852319551578720858e-01 7.677732321980227370e-01 4.742945457546825949e+00
2.050000000000000000e+02 1.778370721048131153e-01 2.472907625648591290e-01 6.675995966857111164e-01 4.763038930327953224e+00
2.060000000000000000e+02 3.483028395329588744e-01 3.460790034563950845e-01 5.899210880748819719e-01 2.233381853376652959e+00
2.070000000000000000e+02 4.555415837049121563e-01 3.957863004334475909e-01 8.616613532331930392e-01 3.434573350019232141e+00
2.080000000000000000e+02 2.061687970842872586e-01 2.662614008044233427e-01 8.599622837971963030e-01 6.110686730843257308e+00
2.090000000000000000e+02 4.575136944184362564e-01 3.966420856030158926e-01 7.356759646215845772e-01 2.615155989896493782e+00
2.100000000000000000e+02 1.267597871072356774e-01 2.087793276085139760e-01 9.119345259389519676e-01 9.004127874564924028e+00
2.110000000000000000e+02 2.842863503735433839e-01 3.126617454818043096e-01 7.814176200541562700e-01 4.253554247337573813e+00
2.120000000000000000e+02 4.166418202519881486e-01 3.785107113565339132e-01 8.006425178307781110e-01 3.277355712306732283e+00
2.130000000000000000e+02 2.681799528793087362e-01 3.036756005860909990e-01 7.902985652356839807e-01 4.515909944453722957e+00
2.140000000000000000e+02 1.829260535809081878e-01 2.508040392099861182e-01 7.426887794897820694e-01 5.428017615802355422e+00
2.150000000000000000e+02 4.474070895188250185e-01 3.922366533761099117e-01 8.654363214685801831e-01 3.509126491699395611e+00
2.160000000000000000e+02 3.738812879464908923e-01 3.585614612230489384e-01 6.607481437364479682e-01 2.584687579856653539e+00
2.170000000000000000e+02 4.333399796980348939e-01 3.860211705528521775e-01 7.228996428467584501e-01 2.660747822232368609e+00
2.180000000000000000e+02 2.389803202787789405e-01 2.866670738669707674e-01 6.943506967295451915e-01 4.057569930709359340e+00
2.190000000000000000e+02 3.561336816073928380e-01 3.499478008692362696e-01 7.437344864656771914e-01 3.302850391252570628e+00
2.200000000000000000e+02 1.753315707207542817e-01 2.455425748771198624e-01 5.735394398420672335e-01 3.838062613127048994e+00
2.210000000000000000e+02 1.846407059134805573e-01 2.519767499085842632e-01 5.794250710294832629e-01 3.745815484528433270e+00
2.220000000000000000e+02 3.453544150181494521e-01 3.446110905999248963e-01 7.424379148478650325e-01 3.376955126425742026e+00
2.230000000000000000e+02 1.632033720948510847e-01 2.368979529335270284e-01 7.126046315784688723e-01 5.547079819688130797e+00
2.240000000000000000e+02 3.113457138399024493e-01 3.272036877072987959e-01 9.373365940855832301e-01 5.182586861899473263e+00
2.250000000000000000e+02 2.474918226707973901e-01 2.917273661680704344e-01 6.137843801175700831e-01 3.248684136327355976e+00
2.260000000000000000e+02 2.796475433720978510e-01 3.101003441865113897e-01 8.348144445730689700e-01 4.743779321844822761e+00
2.270000000000000000e+02 1.891518054942767368e-01 2.550362943734210130e-01 7.611816186875388635e-01 5.487428180446027426e+00
2.280000000000000000e+02 7.836414326431231925e-02 1.641555002658713069e-01 9.181208714966371254e-01 1.211846495346804176e+01
2.290000000000000000e+02 1.676323675298211358e-01 2.400908910323156786e-01 7.603303350914349945e-01 5.950723759631118881e+00
2.300000000000000000e+02 2.517052151427620066e-01 2.942001236739099634e-01 7.841575812285438429e-01 4.675928040248402695e+00
2.310000000000000000e+02 2.989135508875995217e-01 3.206044498380727359e-01 6.626275117741028398e-01 3.154219455224827495e+00
