# om	S8	As*1e9
2.640422443334329849e-01 8.933934241827073963e-01 5.437331046543885549e+00
4.156954050613147489e-01 6.545113410145313448e-01 2.300896051600552550e+00
1.489304707741983813e-01 9.401837824860465043e-01 8.461668230219176579e+00
1.009897834632983438e-01 7.980089941914016993e-01 8.786307871555649740e+00
1.812273914669114416e-01 8.957400608825676347e-01 7.021822661303893653e+00
4.279722397986716609e-01 5.878923259980222138e-01 1.795843817869221315e+00
3.132558551895424093e-01 8.855309123329538901e-01 4.759076934873581521e+00
1.175476569353153533e-01 6.454739119092420818e-01 6.061749330024280624e+00
4.486313211794620281e-01 6.900138059555929182e-01 2.366059775754972616e+00
3.888201323675420928e-01 6.668686227886824192e-01 2.536363288272303063e+00
4.468491053083808451e-01 9.118076293372749941e-01 3.813360036488167015e+00
3.456000343632134597e-01 7.016158801444473125e-01 3.073971929687972615e+00
4.242926178175444596e-01 8.334679678647045620e-01 3.447122059762337098e+00
4.105078996869407360e-01 7.408645218563573165e-01 2.912906278284359107e+00
1.156145310603123588e-01 8.935153802935500433e-01 9.292193895990878971e+00
1.989556511624922530e-01 8.314139389309950223e-01 5.980732087089116078e+00
3.393848220575608754e-01 7.999205627072629721e-01 3.852675378020084640e+00
4.220647667560867289e-01 7.307806904484949184e-01 2.776509338150145556e+00
2.173286303902067229e-01 6.975713305248604224e-01 4.386967143703401462e+00
3.020154454990834347e-01 8.233422134673940018e-01 4.394973032739175167e+00
1.620401794691280484e-01 6.903612316002384341e-01 5.334924858390634128e+00
1.682101031199327856e-01 8.424091705159685306e-01 6.804480639500221528e+00
4.554438918769487810e-01 5.782046993077651909e-01 1.614289260615903832e+00
1.173125459619593636e-01 8.278434377558019364e-01 8.378220347266324808e+00
7.455739673433647852e-02 8.836159637441529657e-01 1.192909745520202236e+01
1.211474253907811605e-01 7.487512256922641551e-01 7.225926715611269202e+00
3.563837657189524166e-01 6.811924369184496619e-01 2.846777853328649410e+00
4.482506307739959617e-01 7.056252960054076873e-01 2.469042874131126997e+00
3.600397439412382772e-01 7.601232603194445492e-01 3.391871246716776422e+00
3.730355915817186174e-01 7.106391776873532962e-01 2.944121720514500939e+00
3.718101228975214112e-01 9.652257472778935643e-01 4.762460218232508424e+00
4.417484960698718766e-01 8.027935439140223561e-01 3.136340483041931027e+00
3.464424960206999859e-01 6.217845328435700480e-01 2.479687892589221843e+00
2.104508449761267053e-01 6.420645151400092843e-01 3.967571156558743706e+00
1.979873991711644243e-01 7.399287444211155584e-01 5.109126897076032847e+00
1.136733610639162617e-01 8.936847799935100367e-01 9.391231067709941982e+00
4.343188798309228771e-01 9.249473650941640868e-01 3.984490422677989141e+00
3.876617763592175026e-01 6.177663565174712490e-01 2.201394830304949313e+00
2.644506519548107670e-01 7.566896104387950128e-01 4.279064546342121744e+00
3.675616467995765912e-01 7.823787179492053268e-01 3.494528371401412148e+00
9.498004197827930595e-02 9.145883673036204753e-01 1.076533328054891747e+01
1.736865371075187736e-01 6.376752983095272942e-01 4.533275913837918836e+00
3.090682326619422216e-01 6.324780271716603508e-01 2.832076503937131395e+00
3.585940564000419384e-01 6.695505490644627633e-01 2.747227167336606879e+00
1.821382006196817505e-01 8.574470566765726165e-01 6.610003701497515038e+00
7.307171839926640544e-02 7.329361596680319391e-01 9.654469530543826394e+00
1.665986641569342230e-01 8.825367621386777106e-01 7.273646993197981914e+00
1.331325801803983633e-01 6.195957393450501893e-01 5.261694565777206734e+00
3.486882337843469903e-01 9.441768247475050835e-01 4.831803395811135715e+00
8.921929697424027528e-02 6.103400493744020050e-01 6.758374090305839132e+00
2.069954620018552016e-01 6.638992193166363132e-01 4.226059790158393170e+00
1.703710199871827091e-01 9.333311563763150298e-01 7.702784343439626369e+00
2.077181333426201260e-01 6.735016212616725673e-01 4.306384290143377314e+00
1.705538005781246924e-01 6.158955907712923006e-01 4.365288970561470805e+00
3.267428618677507557e-01 8.939926827184762059e-01 4.680199245304807576e+00
1.700326977788094440e-01 6.180145893242691146e-01 4.397466534257363335e+00
1.053779047104247968e-01 7.855453571296548976e-01 8.390786124899204168e+00
3.338656638663159426e-01 8.413008658688410080e-01 4.212145542865471270e+00
2.418650125059507994e-01 8.268382841189987342e-01 5.188624877602721952e+00
4.210779408124631917e-01 6.308165904516073175e-01 2.114377242083735009e+00
4.000038062313565068e-01 9.466688391410614800e-01 4.388996898720657569e+00
1.097793862813140064e-01 6.837985928264463942e-01 6.847039403670956759e+00
3.778310044719683236e-01 6.204178866998582009e-01 2.275695176682309029e+00
2.671442721258971975e-01 6.331924314008631205e-01 3.210975869443335906e+00
2.923608995337422245e-01 9.452156122561437002e-01 5.478491854415500129e+00
4.248520614401631867e-01 6.125493807693396242e-01 1.974119719951518359e+00
2.656084383428228279e-01 7.101493221042450843e-01 3.873657094160648295e+00
3.808912677232996757e-01 6.938326421914999820e-01 2.773778259489394049e+00
7.477401981076237103e-02 7.469351947181543938e-01 9.741837729271233925e+00
1.472303672761060278e-01 8.943353670391047672e-01 8.004463381605708250e+00
1.643818966355340971e-01 9.607522113941517894e-01 8.172968248666295565e+00
1.108129931554365788e-01 9.637104306835844181e-01 1.045055014617018685e+01
3.956340862691131166e-01 6.680316279736623342e-01 2.504279935150306446e+00
4.249763739493062631e-01 9.639769329903354889e-01 4.310557426948800952e+00
1.730690834282695989e-01 5.849275613291737841e-01 3.995423501657506815e+00
3.038372751525555415e-01 7.935831980815987174e-01 4.141421095764320270e+00
3.930916938797335280e-01 6.713392305654697356e-01 2.542016068536825824e+00
4.179133634511955631e-01 8.310842762548612539e-01 3.473313629333298014e+00
2.539309694579727772e-01 7.512234392701110375e-01 4.362831622266925891e+00
3.873857995759428796e-01 9.266033511646021292e-01 4.354068415067336772e+00
2.108203938874067818e-01 6.927001943933634998e-01 4.440343315046824557e+00
3.380660055298886912e-01 5.793922487255255271e-01 2.219997308803270730e+00
1.308646277701849547e-01 6.791420272083145138e-01 6.038811988143688581e+00
3.579176512153894874e-01 7.202137949119336024e-01 3.118929421992398421e+00
2.642668415732332132e-01 7.024970640416057233e-01 3.824268357771527516e+00
2.121150576112749153e-01 8.180088959730071885e-01 5.599877637343555037e+00
1.213944609726634039e-01 6.615506197911270592e-01 6.131428149800372651e+00
3.786694974069508279e-01 6.286475364817598610e-01 2.328825846108391051e+00
3.264071795269700149e-01 8.078760002088161141e-01 4.030224815208663713e+00
3.268985629115254699e-01 8.839615606167756656e-01 4.602524665063823406e+00
1.771541837449746859e-01 5.726871131574248208e-01 3.798658457192773508e+00
2.162632185336683666e-01 7.377696208041111259e-01 4.777664454964401841e+00
3.061826485025143096e-01 9.680247284970455723e-01 5.484163910492979355e+00
4.303575774533129339e-01 7.868953507439448991e-01 3.100125186305286551e+00
2.710343591854059708e-01 7.123455150771134115e-01 3.831848708286889060e+00
9.123773000097362695e-02 8.062803204846635818e-01 9.472051841881581780e+00
4.511330342838146823e-01 7.651699689453715925e-01 2.838751203024661773e+00
2.804316967872237942e-01 8.183678746846129171e-01 4.599564449130667754e+00
1.781529683156390931e-01 7.632382022056104498e-01 5.739260837290986572e+00
3.270232727522466298e-01 6.468609402599325708e-01 2.803804456742844398e+00
4.696176255613806472e-01 8.144781879443137029e-01 3.052509611578729132e+00
3.749887728190999803e-01 5.939270022554599127e-01 2.104704546275689925e+00
1.668913640976659729e-01 7.424116551284887233e-01 5.778424829126041828e+00
3.326199789652565242e-01 5.800474977778604657e-01 2.260145060592646526e+00
1.524933915507576954e-01 8.866887401047922612e-01 7.743674132525255160e+00
2.737484902913408513e-01 9.422825333117911262e-01 5.707586798155315222e+00
2.761311541476404452e-01 8.221056338462633395e-01 4.682369822958692751e+00
1.751399053825888896e-01 8.929937638449624293e-01 7.150547067677882396e+00
2.845299508092840046e-01 9.032793771232201507e-01 5.241243800209419490e+00
3.386713584062147064e-01 6.725352376599410542e-01 2.909995732607923546e+00
4.270556893173860225e-01 8.764079363566894543e-01 3.714007561225993737e+00
4.078154013995372029e-01 6.603738114999179176e-01 2.383008652283562068e+00
1.207553617783233280e-01 8.667378404408792036e-01 8.712997248271484807e+00
1.414733630393399666e-01 5.793717392619006645e-01 4.577770897038908160e+00
2.779818017061731483e-01 6.869157761731002898e-01 3.548158228786685076e+00
3.349385128434346770e-01 8.922304685510831224e-01 4.583532319199795424e+00
3.619942264208957927e-01 6.774341079035394175e-01 2.781213274089707088e+00
4.594385230099029549e-01 8.383808411133046867e-01 3.262152832854876561e+00
2.715408824470821880e-01 6.665210757374604444e-01 3.445080056682927161e+00
1.524063335986440282e-01 9.172712606939341651e-01 8.086097421405819219e+00
1.429528852258525884e-01 9.622657194933532665e-01 8.933418678323713280e+00
3.459215010531757062e-01 8.678732748151869458e-01 4.297040247374560806e+00
3.581323715164052013e-01 6.463865290051751256e-01 2.582546019154343231e+00
1.706502632794934526e-01 5.867051262029315817e-01 4.057124679990504745e+00
1.544922830900835597e-01 6.174098168960659994e-01 4.709758045780349178e+00
3.597510519963239561e-01 9.685420330945938572e-01 4.900498765856339034e+00
4.661752069216525962e-01 5.870497847489496435e-01 1.627450575325582349e+00
3.756236896475718678e-01 9.125032242157624651e-01 4.354601982807240645e+00
3.022028321574409260e-01 9.033841400424621471e-01 5.024177693786374022e+00
4.089468535519816816e-01 8.847905660493107227e-01 3.898167569849759762e+00
4.462946940766330250e-01 6.155264219447887930e-01 1.894361663342961410e+00
2.868051609021260995e-01 7.255389468887666338e-01 3.773254172351255153e+00
8.199353801758774152e-02 7.422425352620480865e-01 9.137444810767002323e+00
2.365935330941683346e-01 7.677732321980227370e-01 4.742945457546825949e+00
1.778370721048131153e-01 6.675995966857111164e-01 4.763038930327953224e+00
3.483028395329588744e-01 5.899210880748819719e-01 2.233381853376652959e+00
4.555415837049121563e-01 8.616613532331930392e-01 3.434573350019232141e+00
2.061687970842872586e-01 8.599622837971963030e-01 6.110686730843257308e+00
4.575136944184362564e-01 7.356759646215845772e-01 2.615155989896493782e+00
1.267597871072356774e-01 9.119345259389519676e-01 9.004127874564924028e+00
2.842863503735433839e-01 7.814176200541562700e-01 4.253554247337573813e+00
4.166418202519881486e-01 8.006425178307781110e-01 3.277355712306732283e+00
2.681799528793087362e-01 7.902985652356839807e-01 4.515909944453722957e+00
1.829260535809081878e-01 7.426887794897820694e-01 5.428017615802355422e+00
4.474070895188250185e-01 8.654363214685801831e-01 3.509126491699395611e+00
3.738812879464908923e-01 6.607481437364479682e-01 2.584687579856653539e+00
4.333399796980348939e-01 7.228996428467584501e-01 2.660747822232368609e+00
2.389803202787789405e-01 6.943506967295451915e-01 4.057569930709359340e+00
3.561336816073928380e-01 7.437344864656771914e-01 3.302850391252570628e+00
1.753315707207542817e-01 5.735394398420672335e-01 3.838062613127048994e+00
1.846407059134805573e-01 5.794250710294832629e-01 3.745815484528433270e+00
3.453544150181494521e-01 7.424379148478650325e-01 3.376955126425742026e+00
1.632033720948510847e-01 7.126046315784688723e-01 5.547079819688130797e+00
3.113457138399024493e-01 9.373365940855832301e-01 5.182586861899473263e+00
2.474918226707973901e-01 6.137843801175700831e-01 3.248684136327355976e+00
2.796475433720978510e-01 8.348144445730689700e-01 4.743779321844822761e+00
1.891518054942767368e-01 7.611816186875388635e-01 5.487428180446027426e+00
7.836414326431231925e-02 9.181208714966371254e-01 1.211846495346804176e+01
1.676323675298211358e-01 7.603303350914349945e-01 5.950723759631118881e+00
2.517052151427620066e-01 7.841575812285438429e-01 4.675928040248402695e+00
2.989135508875995217e-01 6.626275117741028398e-01 3.154219455224827495e+00
1.046385663744786587e-01 7.355624332273444921e-01 7.757917900190049565e+00
2.286834375346826209e-01 7.557264568001325067e-01 4.751076502486702324e+00
2.832755901345246907e-01 9.469560586580796357e-01 5.613239153014999872e+00
3.699506413112841896e-01 7.583170577754168029e-01 3.304935050457451506e+00
1.113081496381003455e-01 7.100843013708000306e-01 7.126945943424747298e+00
3.278182310804135802e-01 7.015602185088407605e-01 3.212023039453501649e+00
4.089437797044045420e-01 8.632995661841122992e-01 3.752497891338411495e+00
4.036879432915705390e-01 6.257584796451505227e-01 2.169680722176401400e+00
2.512879272511865936e-01 6.918967441000538621e-01 3.883661558453621598e+00
4.451056713730673353e-01 8.012366128363378470e-01 3.106438813935566312e+00
3.731641381740012919e-01 7.758948661511224643e-01 3.406358388459394870e+00
4.444600179662606121e-01 7.525010375070355639e-01 2.793305153890298431e+00
1.554359003228380498e-01 7.690397546561876796e-01 6.356383512073119135e+00
2.414822378487494758e-01 8.958407957828025125e-01 5.803142024601500637e+00
2.946590540824561288e-01 6.920635064404436765e-01 3.427103538318456710e+00
4.401619856307680267e-01 6.703156833603505227e-01 2.280106407888452313e+00
3.744907723817543221e-01 7.815822882512167835e-01 3.436887445086921122e+00
1.815855631678162663e-01 7.839361319172950537e-01 5.875383392447760755e+00
1.159766161879246527e-01 8.207936005038571903e-01 8.348652641899821703e+00
3.917375694502974182e-01 6.601189016635400364e-01 2.472314580980029763e+00
4.426604038152773812e-01 6.888941605638416732e-01 2.388784045455613292e+00
8.909837891853905623e-02 9.661782110358574371e-01 1.193246231350558162e+01
3.828480215738315207e-01 6.426247074766223699e-01 2.402521156516565615e+00
3.290247053867618732e-01 7.061458188363043398e-01 3.236932181042339263e+00
4.024519091864073861e-01 6.853908691330388159e-01 2.583740928673401438e+00
4.186181162304210002e-01 9.223500865738857302e-01 4.080140235248249425e+00
3.606564351748474118e-01 5.909763957315845584e-01 2.166137400125301316e+00
4.250289228428451027e-01 7.848504014271640017e-01 3.119022739390655108e+00
1.720726972170185110e-01 7.688260525212330387e-01 5.934958812272132178e+00
4.452719842805478168e-01 9.339092821438184089e-01 3.967412933221681204e+00
2.827684147160006156e-01 8.126899161459131271e-01 4.525535252771536676e+00
2.273446512955531185e-01 6.794326655858023978e-01 4.077540466290544785e+00
1.997998399397550029e-01 6.640959581665962785e-01 4.340874182119913272e+00
2.945473409283616562e-01 8.542355339279263937e-01 4.723569609750105869e+00
2.905589654004411826e-01 6.566845900515424495e-01 3.181426393489378501e+00
1.952371672230623356e-01 9.097545207940614942e-01 6.825951445972849640e+00
4.337399547015665657e-01 7.846716027695379569e-01 3.065171754798484915e+00
1.081492552398413409e-01 7.061145859099788868e-01 7.208398395997576813e+00
2.508332981850007193e-01 5.830641112072277865e-01 2.947022754331480865e+00
3.223345830972395021e-01 8.644795975578984937e-01 4.501047273415254679e+00
1.597293047815165901e-01 9.499654112137597695e-01 8.204502727256773653e+00
3.361269979998546265e-01 7.728483187967605250e-01 3.679018898608686694e+00
2.120901673629883022e-01 7.953045690867505124e-01 5.386602184990366027e+00
3.954626061620317712e-01 6.964674373008847841e-01 2.701308930853206558e+00
3.767847338320035044e-01 6.015164484338585416e-01 2.148272879832371363e+00
7.986517186596664430e-02 9.067749721357677428e-01 1.181016738275083888e+01
8.065811433780611939e-02 6.033443103702849086e-01 7.109853794167134922e+00
3.632600284553775261e-01 6.845872742821959012e-01 2.824153266355612590e+00
1.067788037445480120e-01 8.297618882766936155e-01 8.908356978903825052e+00
1.653562019225050528e-01 6.113106329855348964e-01 4.417233064997068581e+00
4.688123205034947505e-01 7.317912657310425839e-01 2.533394299015677920e+00
2.007528407464021503e-01 5.857542593350153481e-01 3.567560333896314884e+00
3.062365292209882628e-01 8.808006079841717018e-01 4.800183738477958428e+00
3.225840530174765575e-01 8.149648079676953261e-01 4.120552428539784984e+00
2.887671596513613492e-01 6.559448315604942126e-01 3.191818746207561563e+00
2.268629190254002614e-01 8.308712075046865708e-01 5.462467096772464004e+00
4.509987985420912393e-01 7.206012393073975009e-01 2.551776697291388007e+00
1.840074533865823647e-01 9.624033149813326915e-01 7.626373647845937853e+00
2.772767286383804319e-01 9.418645894596014978e-01 5.654312607471517538e+00
4.405071932741929652e-01 9.157886142507222216e-01 3.881777901595758085e+00
1.217656674538914185e-01 9.660179105653545761e-01 9.901465977394042994e+00
3.588374294546308740e-01 9.392323915761808806e-01 4.697289073580851237e+00
4.545685842287975342e-01 7.989067186150653477e-01 3.036980428917397834e+00
3.623819221426626824e-01 6.904719539255796956e-01 2.872494680915787857e+00
4.059639131379207955e-01 6.974004513018643436e-01 2.645151202316305739e+00
3.381433541043626922e-01 8.795706623260881596e-01 4.457402677911137090e+00
3.197484592100244827e-01 5.777088631820415099e-01 2.329108780846456117e+00
1.254772443252503422e-01 9.020857310613903390e-01 8.940198290025797689e+00
1.089078310417636031e-01 7.951056842448792628e-01 8.344961664554640279e+00
4.401638748785544619e-01 5.925543484273126937e-01 1.771974941006060345e+00
3.964286880051346995e-01 8.629819101925020330e-01 3.841973370201888560e+00
4.271716726205619930e-01 9.466849889594817213e-01 4.179366254467439035e+00
7.364112673759962147e-02 8.575242530896822757e-01 1.159928011868433195e+01
1.511901088225640066e-01 6.283095136485591370e-01 4.905247639463464537e+00
2.620820965464073504e-01 8.133318738944946835e-01 4.787484932147483718e+00
3.631988535409749197e-01 6.998633810622032492e-01 2.934456382809210506e+00
1.032266341428217382e-01 8.675050432440618575e-01 9.605438065638624678e+00
2.196146446021637610e-01 7.607964316835552632e-01 4.938001662838926720e+00
2.762213734102236251e-01 9.641824939048040388e-01 5.853204478462735949e+00
1.136154761938845958e-01 6.086389451725569000e-01 5.728031025687897682e+00
3.212728968615645719e-01 7.296465629088892957e-01 3.480679003502699320e+00
3.870351415087961988e-01 6.728384446493367310e-01 2.588642772541243975e+00
2.867512255477108196e-01 8.924506712850995838e-01 5.125087745092992364e+00
2.852318398989392434e-01 6.698839115013708323e-01 3.337660543289707515e+00
2.383976101235335265e-01 6.041544023491656201e-01 3.264244224770532998e+00
2.121702823497905732e-01 6.260899903347207918e-01 3.792587361082963238e+00
1.861407677969926788e-01 6.669421616191497648e-01 4.601607197324268483e+00
3.553246646414848220e-01 6.005817522901492067e-01 2.267883052507853936e+00
3.187414048643404940e-01 6.511888264713869834e-01 2.900336660984219161e+00
2.220304956051237233e-01 8.920267300432120905e-01 6.106974817385328436e+00
8.821149671897088318e-02 8.477160213451762072e-01 1.027369315811616524e+01
3.076687911802605258e-01 6.953280718202182742e-01 3.334499924464753295e+00
4.584923724713318993e-01 7.028727478804746021e-01 2.400100303835473792e+00
4.002135082055345294e-01 9.014802654091331746e-01 4.077630079474245051e+00
1.320748136229147607e-01 8.019422481771306677e-01 7.466314114223493448e+00
2.814951204354323444e-01 6.946132471846209189e-01 3.575696611977796646e+00
1.953913944832973149e-01 6.226212911227475555e-01 4.006365533445602978e+00
1.916680226697419220e-01 6.917651307226787560e-01 4.750075881223436269e+00
9.920852687596171116e-02 6.419545339821864927e-01 6.735707219192693884e+00
8.020749809618429871e-02 8.124092177756728761e-01 1.033594819159160316e+01
1.428316786228451818e-01 8.410058430926810047e-01 7.547133525356654715e+00
2.258338510474039995e-01 9.504142799098520555e-01 6.570217240562488570e+00
3.817629126938762441e-01 6.549403143797141169e-01 2.495326808051778311e+00
1.685698942634614172e-01 7.026757262223310985e-01 5.319531629119030214e+00
3.149618144236274175e-01 8.957230571365085714e-01 4.819207397570835383e+00
4.073768245259959397e-01 8.042895164810663911e-01 3.362932006878225355e+00
3.884560137671027036e-01 8.977452372353147414e-01 4.144443374292139382e+00
1.434562106710226825e-01 7.372765296780494637e-01 6.338830773902889959e+00
3.268639885551850588e-01 9.513759472281300145e-01 5.114067074714489181e+00
3.802496331584294120e-01 9.323278999468695982e-01 4.454594441914951020e+00
4.066577444509676953e-01 5.825272372633680806e-01 1.860164800958498788e+00
1.895115721621259408e-01 7.600477652249156835e-01 5.468931341149680492e+00
3.548591530539927930e-01 8.249685397046984114e-01 3.903726886833952303e+00
4.572064661698593824e-01 8.275608507422536064e-01 3.205854080382018356e+00
2.642000155015272189e-01 8.738032419531502892e-01 5.269852209286296940e+00
1.996799837681216827e-01 5.855635911510855829e-01 3.580915713284821056e+00
1.339680230959396923e-01 7.596402313712371512e-01 6.897439385877721207e+00
4.624282941872027708e-01 7.058982036001507643e-01 2.400195942347839395e+00
4.242904298575156385e-01 7.770299565974371214e-01 3.071513835002235293e+00
2.235172395692592295e-01 6.385993178855722263e-01 3.755776389110011326e+00
3.317736812608816366e-01 7.826629985421386104e-01 3.790679349517433128e+00
3.716936378778076255e-01 7.758193835329412202e-01 3.416703065751444779e+00
3.636831213952876896e-01 7.604613336331504936e-01 3.366723526514088238e+00
1.545538476968290054e-01 8.193876350240619777e-01 6.935684157494511837e+00
4.078022325936086490e-01 9.109992240029296529e-01 4.084502281286324532e+00
3.940333421950331094e-01 6.298819130217654383e-01 2.250149657616462573e+00
2.101786888304200962e-01 7.213853735631396979e-01 4.721573139150299525e+00
2.799296663550503439e-01 7.447855735545806377e-01 4.002648259597149760e+00
4.519557350022536113e-01 7.844805384132339521e-01 2.958779729815838255e+00
9.463937296982577463e-02 6.731814702125159533e-01 7.386538479656021394e+00
4.419308362987359740e-01 8.547918889516200602e-01 3.474357091674304510e+00
1.803620154886557136e-01 8.201843961487911283e-01 6.272410416177413239e+00
7.011215244210078357e-02 6.024846940581445320e-01 7.764178322688824352e+00
2.068882749487309103e-01 6.501986825956881377e-01 4.097116956525443499e+00
2.311633832760212337e-01 5.764498485372312464e-01 3.097728072063651528e+00
4.588537041680099682e-01 8.361408904622202876e-01 3.251233332870163029e+00
2.439849888056767335e-01 7.125623325239688333e-01 4.153927667576750693e+00
2.344514252283929900e-01 8.677838342821122541e-01 5.669564269264233403e+00
3.249065439799963539e-01 5.722061215668017287e-01 2.251959217542264025e+00
1.621552048742944119e-01 6.457581110218828524e-01 4.852099348613879926e+00
4.689606910584970256e-01 9.094023466613978535e-01 3.657041983324894385e+00
7.135242369828909137e-02 9.617657451886933995e-01 1.350905053190270699e+01
3.265397400184396615e-01 7.680366684173238756e-01 3.726737864301655545e+00
4.524517132636214356e-01 6.850799668293072742e-01 2.315365867468389016e+00
3.479545230210238649e-01 9.218938064342266925e-01 4.675341667140505919e+00
3.887541270447618658e-01 6.235528546387847371e-01 2.235581076466060413e+00
4.488855825193673876e-01 7.903400697457240165e-01 3.013964620039505160e+00
1.383967297482672498e-01 6.302212766597388161e-01 5.244152623953654668e+00
4.688948472752091368e-01 6.408706184527703797e-01 1.957365926170793191e+00
1.704344084885686117e-01 9.310366112957590978e-01 7.676866090032762102e+00
1.075878644612208168e-01 6.885796152556448169e-01 7.000894179675681173e+00
4.078328530331898349e-01 7.976157762631046477e-01 3.314572562633109509e+00
2.622866956397221783e-01 9.285456506656464271e-01 5.760074741310221569e+00
1.755387068289716301e-01 6.199732404235117622e-01 4.315020431498295395e+00
1.249112239130935331e-01 9.436600859078896342e-01 9.475143951949878129e+00
4.494626958417240470e-01 5.956788599109448246e-01 1.751916889657424647e+00
